"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"100130417",55.0796195028223,2.2645425132781,0.299896196719384,7.55108780321432,1.24006280897271e-05,0.0006695265520999,"100130417"
"107985728",44.0832157352595,2.34100680908223,0.321873240646237,7.27307061743342,1.54820455891404e-05,0.00081301925300109,"107985728"
"7293",37.0313944617468,-2.06867312010451,0.271558096046247,-7.61779210498004,4.15397010011784e-05,0.00189427111841571,"7293"
"105378589",39.6522398672194,2.8283901719894,0.373690431304385,7.56880544710969,4.97073106467672e-07,3.94872342921326e-05,"105378589"
"388585",139.004829604438,2.1125366231398,0.365015186936861,5.78753076239872,0.00115216120830108,0.0310301038568607,"388585"
"54626",6.84354860857769,-2.75736851152512,0.496258584791814,-5.5563139782899,0.000199128978744721,0.00728309860089196,"54626"
"80045",45.6848958666219,-1.86995704651943,0.284853297448308,-6.56463191147986,0.00112886123188261,0.0306068636609563,"80045"
"101929074",9.81211744191257,-2.55039293935666,0.354834735402393,-7.18755151314157,6.23118378321338e-06,0.000380957471295281,"101929074"
"57540",598.64348597082,1.9528401839782,0.254090138940609,7.68561972581964,8.84142837660231e-05,0.0036634649406307,"57540"
"374946",488.94479163829,-2.12130772915827,0.275936750469896,-7.68765931158449,2.41566188204223e-05,0.00119556091241392,"374946"
"10630",1800.54742134163,-3.13123950116538,0.323872951639877,-9.6681105517175,2.34465856178748e-11,5.41529288566915e-09,"10630"
"54751",373.794967371778,-2.95903697322704,0.262079924249543,-11.2905900049389,3.86136451774903e-14,1.33774828514905e-11,"54751"
"1969",228.982351321241,-1.8120218852524,0.23321624380285,-7.76970701399424,0.000248989619737341,0.00874760151370172,"1969"
"128272",69.0408230685246,-1.84589732862241,0.242569371006068,-7.60977085015499,0.000244017666307266,0.00860497614617481,"128272"
"4237",96.2324928115075,-3.05041216138926,0.393113278684298,-7.75962636418341,9.14978136012224e-08,8.7781594710342e-06,"4237"
"105376806",20.2920283630844,-3.2154792947343,0.422919750884371,-7.60304830410589,8.09287869823836e-08,7.94758922239597e-06,"105376806"
"5320",348.555618955473,-6.41710912318863,0.713194384769313,-8.99770001030544,1.53234780318798e-14,5.88044363118783e-12,"5320"
